epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,8197.15,0.98288,1.18249,1.29836,0.79774,0.71937,0.80882,0.6028,0.90849,0.82718,1.19461,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,8444.68,0.97333,1.16254,1.28886,0.7936,0.73252,0.81383,0.61052,0.90413,0.81262,1.18941,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,8700.37,0.97479,1.16276,1.29062,0.80494,0.72998,0.81554,0.61384,0.89979,0.80339,1.1864,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,8948.05,0.96821,1.14572,1.28267,0.78789,0.73657,0.81502,0.61379,0.89542,0.80377,1.18507,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,9194.9,0.9654,1.1447,1.28422,0.8094,0.72878,0.81909,0.61848,0.88953,0.79347,1.17987,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,9442.83,0.95832,1.12078,1.27678,0.79331,0.75166,0.82307,0.62271,0.88641,0.7877,1.17562,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,9689.06,0.95414,1.11454,1.27493,0.79764,0.75188,0.82417,0.62285,0.88509,0.78172,1.17484,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,9936.56,0.94837,1.10817,1.27068,0.79801,0.753,0.8265,0.62794,0.88054,0.77325,1.17169,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,10183.5,0.94463,1.09279,1.26363,0.81027,0.74923,0.82874,0.62949,0.87825,0.76704,1.16804,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,10432,0.93803,1.09015,1.26522,0.80747,0.75027,0.82902,0.63047,0.87566,0.7612,1.16586,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,10680,0.93408,1.07854,1.26031,0.8019,0.75591,0.83167,0.63266,0.87397,0.75714,1.16444,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,10927,0.92695,1.0704,1.25664,0.8159,0.75146,0.83482,0.63568,0.87137,0.75539,1.16364,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,11213.7,0.9282,1.06222,1.25447,0.80897,0.7691,0.83659,0.63842,0.86652,0.75009,1.15874,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,11478.6,0.92016,1.05075,1.24808,0.80625,0.76805,0.83718,0.64031,0.86225,0.74597,1.15488,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,11726.8,0.91792,1.03932,1.2464,0.81106,0.76597,0.83726,0.64238,0.86227,0.74031,1.15687,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,12000.7,0.9134,1.03137,1.24131,0.80616,0.77121,0.83893,0.64293,0.86272,0.73641,1.15626,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,12250,0.90773,1.02573,1.24044,0.81393,0.76561,0.83924,0.64478,0.85951,0.73191,1.15196,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,12498,0.90311,1.00799,1.23581,0.81794,0.75759,0.83942,0.64635,0.85726,0.73067,1.1508,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,12747.3,0.89742,1.01021,1.23138,0.81757,0.76354,0.84021,0.64832,0.8541,0.72784,1.14814,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,12994.3,0.89357,1.00327,1.23102,0.81497,0.77178,0.83998,0.64807,0.85424,0.72522,1.14721,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,13243.6,0.89114,0.99177,1.22388,0.81896,0.7732,0.84111,0.64788,0.85338,0.72326,1.1466,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,13502.6,0.8907,0.98621,1.22341,0.81398,0.77796,0.84181,0.64959,0.8515,0.71986,1.14471,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,13748.9,0.88804,0.98025,1.22331,0.80944,0.78154,0.84288,0.6508,0.84945,0.71633,1.14324,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,13995.6,0.87901,0.96292,1.21787,0.8099,0.78111,0.84271,0.65154,0.84846,0.71411,1.14345,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,14241.2,0.87697,0.958,1.21462,0.81552,0.77822,0.8436,0.65253,0.84813,0.71245,1.1431,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,14490.2,0.87508,0.9564,1.21314,0.81479,0.78134,0.84489,0.65266,0.84892,0.70955,1.14407,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,14737.6,0.87137,0.94628,1.21187,0.81762,0.7838,0.84616,0.65437,0.84873,0.70753,1.14371,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,14985.9,0.8704,0.94552,1.2096,0.81509,0.78862,0.84672,0.65473,0.84777,0.70548,1.1433,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,15232.2,0.86505,0.93641,1.20732,0.81653,0.78768,0.84793,0.65583,0.84677,0.70389,1.14287,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,15477.7,0.85435,0.91713,1.19726,0.82221,0.7852,0.84857,0.65654,0.84632,0.70216,1.14297,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,15726.2,0.85666,0.92289,1.19928,0.81899,0.78934,0.8484,0.65708,0.84527,0.70067,1.14242,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,15973.9,0.84962,0.9079,1.19535,0.81549,0.79281,0.84923,0.65742,0.84325,0.69886,1.14055,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,16220.6,0.8452,0.90033,1.19017,0.8166,0.79133,0.85004,0.65801,0.84272,0.69739,1.14035,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,16468.9,0.84622,0.90164,1.19259,0.82161,0.78794,0.85058,0.65831,0.84181,0.6974,1.13972,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,16716.8,0.8372,0.88938,1.18611,0.82325,0.785,0.85023,0.65853,0.8418,0.69687,1.13986,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,16964.7,0.83389,0.88327,1.18443,0.81969,0.78878,0.85051,0.65922,0.84128,0.69614,1.13931,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,17212.3,0.83486,0.88192,1.18375,0.82103,0.7894,0.85085,0.65924,0.84118,0.69508,1.13926,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,17459.4,0.82619,0.8623,1.1791,0.82148,0.78971,0.85143,0.6597,0.84099,0.69438,1.13908,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,17707.7,0.82677,0.86862,1.17796,0.82444,0.78727,0.85139,0.66029,0.84014,0.6937,1.13837,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,17954.6,0.82479,0.86492,1.17886,0.82764,0.78547,0.85193,0.66065,0.83957,0.69284,1.1379,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,18201.2,0.8217,0.85293,1.17357,0.82366,0.78865,0.85229,0.66089,0.83975,0.69202,1.1381,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,18450.5,0.81266,0.84404,1.17138,0.82368,0.79001,0.85215,0.66104,0.83965,0.69118,1.13808,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,18700.7,0.80917,0.84182,1.16745,0.82453,0.78861,0.852,0.66134,0.83959,0.69097,1.13824,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,18970.5,0.80394,0.83084,1.1653,0.82564,0.78629,0.85169,0.66144,0.83974,0.69033,1.1385,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,19241.9,0.80058,0.82554,1.16173,0.82376,0.79035,0.85192,0.66135,0.83944,0.68936,1.13834,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,19523.3,0.80385,0.82164,1.16066,0.82196,0.79291,0.85204,0.66169,0.83959,0.68886,1.13849,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,19795.5,0.80174,0.82422,1.15931,0.8233,0.7927,0.85192,0.66212,0.83967,0.68772,1.13875,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,20077.5,0.793,0.80642,1.15385,0.82495,0.79115,0.85204,0.66219,0.83974,0.68665,1.13903,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,20323.9,0.79134,0.80661,1.15362,0.82361,0.7946,0.85229,0.66216,0.83965,0.68572,1.13909,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,20638.4,0.78055,0.79424,1.14749,0.82482,0.79245,0.85268,0.66264,0.83963,0.68497,1.13931,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
80,20886.7,0.77757,0.79015,1.14513,0.8261,0.79211,0.85234,0.66293,0.83994,0.68446,1.13974,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,21134.6,0.76918,0.77376,1.13967,0.82611,0.7921,0.85262,0.66355,0.83997,0.68378,1.13993,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,21382,0.77085,0.7664,1.13942,0.82724,0.79031,0.8528,0.66353,0.83999,0.68311,1.1402,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
83,21629.7,0.77155,0.77086,1.1402,0.82589,0.79152,0.85288,0.66341,0.83996,0.68204,1.14039,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
