epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2960.42,1.14757,1.58009,1.50176,0.68945,0.60799,0.66964,0.45671,1.1276,1.22041,1.45326,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,3058.62,1.14422,1.54815,1.48951,0.70836,0.6032,0.67816,0.46203,1.12061,1.20611,1.44924,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,3153.36,1.13163,1.53612,1.48077,0.70584,0.59734,0.67735,0.46462,1.11707,1.1916,1.44399,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,3248.73,1.13156,1.53387,1.48165,0.697,0.61929,0.68591,0.47293,1.10871,1.1815,1.43732,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,3343.45,1.12213,1.51454,1.47216,0.70771,0.61299,0.68402,0.4723,1.10655,1.17767,1.43136,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,3440.7,1.11776,1.49921,1.46692,0.70942,0.61889,0.69166,0.47984,1.1029,1.16193,1.42677,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,3537.58,1.10995,1.49302,1.46347,0.72261,0.61332,0.69614,0.48544,1.09327,1.14847,1.41848,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,3631.78,1.11393,1.48324,1.46456,0.73004,0.61475,0.70117,0.48882,1.08529,1.14475,1.41441,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,3729.52,1.10147,1.47007,1.45894,0.73126,0.61477,0.70296,0.49161,1.0815,1.13347,1.40976,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,3826.89,1.0981,1.4553,1.45002,0.72267,0.62745,0.70538,0.49527,1.07642,1.12405,1.40373,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,3925.12,1.09653,1.4431,1.44636,0.73048,0.62472,0.70715,0.49726,1.07382,1.11736,1.40063,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,4021.85,1.09103,1.43631,1.4459,0.72309,0.63883,0.71206,0.50069,1.07316,1.10703,1.40043,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
