epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,88.4741,1.094,5.02041,1.62037,0.20833,0.18333,0.07111,0.05294,1.5378,93.0339,1.48018,1.52077e-05,1.52077e-05,1.52077e-05
88,89.4914,0.7243,4.42213,1.1708,0.20833,0.18333,0.07111,0.05294,1.51992,97.5912,1.48454,1.43596e-05,1.43596e-05,1.43596e-05
89,90.4276,0.50289,4.59167,1.19236,0.20833,0.18333,0.07111,0.05294,1.51992,97.5912,1.48454,1.34879e-05,1.34879e-05,1.34879e-05
90,91.3171,0.88466,4.89663,1.61406,0.20833,0.18333,0.07111,0.05294,1.51992,97.5912,1.48454,1.25927e-05,1.25927e-05,1.25927e-05
91,92.845,0.85069,5.24587,1.4247,0.20833,0.18333,0.07111,0.05294,1.51992,97.5912,1.48454,1.16739e-05,1.16739e-05,1.16739e-05
92,93.9238,0.78314,5.30111,1.37251,0.20833,0.18333,0.07111,0.05294,1.52875,100.986,1.48299,1.07315e-05,1.07315e-05,1.07315e-05
93,94.8074,0.79535,4.90526,1.37877,0.20833,0.18333,0.07111,0.05294,1.52875,100.986,1.48299,9.76562e-06,9.76562e-06,9.76562e-06
94,95.6986,0.79999,5.34921,1.19536,0.20833,0.18333,0.07111,0.05294,1.52875,100.986,1.48299,8.77613e-06,8.77613e-06,8.77613e-06
95,96.8642,0.7276,4.97257,1.24636,0.20833,0.18333,0.07111,0.05294,1.52875,100.986,1.48299,7.76308e-06,7.76308e-06,7.76308e-06
96,97.8609,0.66828,5.09039,1.37637,0.2,0.18333,0.07111,0.05294,1.54674,93.3212,1.48185,6.72648e-06,6.72648e-06,6.72648e-06
97,98.7643,0.87413,5.2928,1.3841,0.2,0.18333,0.07111,0.05294,1.54674,93.3212,1.48185,5.6663e-06,5.6663e-06,5.6663e-06
98,99.6616,0.79115,4.91439,1.30229,0.2,0.18333,0.07111,0.05294,1.54674,93.3212,1.48185,4.58257e-06,4.58257e-06,4.58257e-06
99,100.539,0.84814,5.43386,1.50824,0.2,0.18333,0.07111,0.05294,1.54674,93.3212,1.48185,3.47528e-06,3.47528e-06,3.47528e-06
100,101.476,0.71944,5.09865,1.23475,0.11667,0.18333,0.05729,0.04327,1.61832,97.0693,1.5169,2.34442e-06,2.34442e-06,2.34442e-06
