epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1821,0.9394,0.8418,1.15474,0.75613,0.68861,0.75236,0.54173,1.11627,0.93698,1.26903,0.00033121,0.00033121,0.0672102
2,91.8922,0.94502,0.83981,1.16619,0.75394,0.6955,0.75508,0.54855,1.10428,0.91444,1.26398,0.000664431,0.000664431,0.0342101
3,136.634,0.9455,0.84518,1.17771,0.72698,0.68147,0.73749,0.52625,1.15876,0.95622,1.3116,0.0009972,0.0009972,0.00120951
4,180.936,0.99034,0.92491,1.19264,0.72587,0.66452,0.72261,0.51196,1.1488,0.9651,1.29207,0.000998474,0.000998474,0.000998474
5,224.566,0.99113,0.91859,1.19532,0.74387,0.66739,0.73016,0.51178,1.18032,0.95637,1.32125,0.000997288,0.000997288,0.000997288
6,268.187,0.99463,0.91588,1.20317,0.72105,0.66445,0.7226,0.51009,1.17042,0.97601,1.31313,0.000995765,0.000995765,0.000995765
7,312.215,0.99303,0.91257,1.20053,0.74107,0.67221,0.73027,0.51467,1.16824,0.96898,1.30827,0.000993906,0.000993906,0.000993906
8,356.105,0.98337,0.89427,1.19561,0.73141,0.65548,0.71679,0.50308,1.18325,0.98686,1.32066,0.000991711,0.000991711,0.000991711
9,399.776,0.97625,0.87217,1.18217,0.71752,0.63677,0.69971,0.48905,1.18087,1.01077,1.31738,0.000989183,0.000989183,0.000989183
10,444.204,0.95942,0.8718,1.18526,0.73893,0.66212,0.723,0.50882,1.18505,0.97106,1.33508,0.000986323,0.000986323,0.000986323
11,488.058,0.95597,0.8519,1.17735,0.7453,0.65494,0.71757,0.50162,1.18285,0.97689,1.32426,0.000983133,0.000983133,0.000983133
12,532.227,0.94432,0.83816,1.16526,0.73634,0.65868,0.71265,0.49849,1.18923,0.97235,1.33596,0.000979616,0.000979616,0.000979616
13,575.465,0.93237,0.83641,1.16408,0.74098,0.64846,0.71493,0.50107,1.18267,0.98884,1.33317,0.000975773,0.000975773,0.000975773
14,619.087,0.93432,0.83532,1.17074,0.72457,0.67283,0.72115,0.50837,1.16753,0.9637,1.32122,0.000971608,0.000971608,0.000971608
15,663.135,0.93385,0.82158,1.16493,0.73745,0.66246,0.72228,0.50695,1.18627,0.97067,1.33733,0.000967122,0.000967122,0.000967122
16,707.101,0.92919,0.82136,1.16353,0.75629,0.66212,0.72851,0.51863,1.17701,0.9675,1.3291,0.00096232,0.00096232,0.00096232
17,750.159,0.9095,0.80787,1.1538,0.72427,0.66473,0.71776,0.50948,1.18099,0.98171,1.33045,0.000957205,0.000957205,0.000957205
18,793.894,0.90287,0.7947,1.14406,0.75925,0.65636,0.72875,0.51875,1.16881,0.9715,1.31819,0.00095178,0.00095178,0.00095178
19,837.362,0.89461,0.7879,1.14021,0.75857,0.67379,0.73929,0.51873,1.17845,0.95116,1.32975,0.000946048,0.000946048,0.000946048
20,880.74,0.89538,0.75938,1.13949,0.74343,0.68124,0.73268,0.51842,1.16544,0.96699,1.31491,0.000940014,0.000940014,0.000940014
21,923.948,0.88224,0.75256,1.13087,0.75702,0.67093,0.72972,0.51552,1.1823,0.95834,1.32842,0.000933683,0.000933683,0.000933683
22,968.163,0.88767,0.75946,1.1379,0.74189,0.66912,0.7225,0.51004,1.17619,0.95268,1.33044,0.000927057,0.000927057,0.000927057
23,1011.59,0.86788,0.75275,1.12631,0.75211,0.67271,0.72821,0.51566,1.18815,0.97251,1.33848,0.000920142,0.000920142,0.000920142
24,1055.35,0.87547,0.75244,1.13121,0.73132,0.65736,0.71216,0.50134,1.16994,0.97363,1.33808,0.000912942,0.000912942,0.000912942
25,1098.71,0.85447,0.71743,1.11344,0.73705,0.66363,0.71874,0.50712,1.18535,0.9732,1.34798,0.000905463,0.000905463,0.000905463
26,1146.55,0.86517,0.74171,1.12448,0.75452,0.67218,0.72621,0.51782,1.17649,0.96899,1.33363,0.00089771,0.00089771,0.00089771
27,1190.07,0.87247,0.75063,1.12841,0.77446,0.64763,0.72105,0.51095,1.19192,0.9719,1.341,0.000889687,0.000889687,0.000889687
28,1233.71,0.84639,0.70676,1.11383,0.75927,0.66696,0.72226,0.51123,1.1783,0.95615,1.34379,0.000881401,0.000881401,0.000881401
29,1277.1,0.83993,0.70365,1.10716,0.77338,0.66192,0.73192,0.52029,1.1872,0.95633,1.34707,0.000872857,0.000872857,0.000872857
30,1322.25,0.84513,0.7268,1.11728,0.75394,0.66803,0.72563,0.51308,1.19618,0.9774,1.35722,0.00086406,0.00086406,0.00086406
31,1377.52,0.82661,0.69447,1.10564,0.75225,0.66114,0.72014,0.51235,1.18081,0.96127,1.34095,0.000855018,0.000855018,0.000855018
32,1422.42,0.82636,0.69782,1.10604,0.78692,0.63744,0.72425,0.51034,1.1926,0.99101,1.36268,0.000845736,0.000845736,0.000845736
33,1465.56,0.82368,0.69106,1.10064,0.76477,0.66546,0.72502,0.51802,1.17077,0.96558,1.33328,0.00083622,0.00083622,0.00083622
34,1509.57,0.81932,0.67437,1.10438,0.75236,0.67028,0.72651,0.51326,1.18238,0.9648,1.34746,0.000826477,0.000826477,0.000826477
