epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.27052,0.92848,6.25705,1.43704,0.08333,0.01667,0.00792,0.00713,1.75133,34.1185,1.57907,0,0,0
2,0.827893,1.18709,6.45731,1.67404,0.08333,0.01667,0.01583,0.01425,1.74846,36.587,1.5705,1.18215e-06,1.18215e-06,1.18215e-06
3,1.47243,1.27533,6.34213,1.73586,0.16667,0.01667,0.01583,0.01425,1.72058,39.6292,1.55356,2.34858e-06,2.34858e-06,2.34858e-06
4,2.08638,1.24912,5.77865,1.64786,0.16667,0.01667,0.01583,0.01425,1.72473,47.0956,1.55329,3.49931e-06,3.49931e-06,3.49931e-06
5,3.70071,1.13332,6.00547,1.72712,0.16667,0.01667,0.01583,0.01425,1.7286,49.5971,1.55476,4.63434e-06,4.63434e-06,4.63434e-06
6,5.11618,1.12711,6.30993,1.56488,0.16667,0.01667,0.01583,0.01425,1.72754,49.5089,1.5459,5.75365e-06,5.75365e-06,5.75365e-06
7,6.21608,1.11765,6.55986,1.68788,0.16667,0.01667,0.01583,0.01425,1.72262,65.1154,1.54284,6.85726e-06,6.85726e-06,6.85726e-06
8,7.3115,1.0526,6.89177,1.80399,0.16667,0.01667,0.01583,0.01425,1.69901,67.8865,1.53109,7.94515e-06,7.94515e-06,7.94515e-06
9,8.39775,1.46718,6.45703,1.77576,0.16667,0.01667,0.01583,0.01425,1.68356,68.1941,1.51979,9.01734e-06,9.01734e-06,9.01734e-06
10,9.47262,0.91463,5.89201,1.44762,0.16667,0.01667,0.01583,0.01425,1.67431,67.3953,1.51729,1.00738e-05,1.00738e-05,1.00738e-05
11,10.509,1.20519,6.7004,1.73669,0.16667,0.01667,0.01583,0.01425,1.66639,64.9127,1.51401,1.11146e-05,1.11146e-05,1.11146e-05
12,11.55,1.21918,5.5697,1.6784,0.16667,0.01667,0.01583,0.01425,1.65822,64.6302,1.50988,1.21397e-05,1.21397e-05,1.21397e-05
13,12.6058,1.19795,5.81163,1.62377,0.16667,0.01667,0.01583,0.01425,1.64662,65.1301,1.509,1.3149e-05,1.3149e-05,1.3149e-05
14,13.8705,1.3109,5.85279,1.68367,0.16667,0.01667,0.01583,0.01425,1.63141,64.2137,1.50452,1.41427e-05,1.41427e-05,1.41427e-05
15,14.9473,1.12987,5.79778,1.71831,0.16667,0.01667,0.01583,0.01425,1.61498,61.6263,1.49961,1.51206e-05,1.51206e-05,1.51206e-05
16,16.3265,1.17824,5.6267,1.56666,0.16667,0.01667,0.01583,0.01425,1.61829,62.7713,1.49612,1.60829e-05,1.60829e-05,1.60829e-05
17,17.4623,0.86694,5.47064,1.43368,0.16667,0.01667,0.01583,0.01425,1.60264,60.6912,1.4917,1.70294e-05,1.70294e-05,1.70294e-05
18,18.6168,0.93547,6.44875,1.56721,0.16667,0.01667,0.01583,0.01425,1.60264,60.6912,1.4917,1.79602e-05,1.79602e-05,1.79602e-05
19,20.2061,0.97295,5.68152,1.64215,0.16667,0.01667,0.01583,0.01425,1.60494,88.8575,1.50473,1.88753e-05,1.88753e-05,1.88753e-05
20,21.2844,1.16382,6.94368,1.67192,0.16667,0.01667,0.01583,0.01425,1.60494,88.8575,1.50473,1.97747e-05,1.97747e-05,1.97747e-05
21,22.404,1.04868,5.67618,1.50357,0.16667,0.01667,0.01583,0.01425,1.60452,97.8071,1.51104,2.06584e-05,2.06584e-05,2.06584e-05
22,23.4901,1.13257,5.83187,1.72291,0.16667,0.01667,0.01583,0.01425,1.60452,97.8071,1.51104,2.15264e-05,2.15264e-05,2.15264e-05
23,24.8031,0.92094,5.97505,1.59046,0.20833,0.18333,0.05729,0.04327,1.61771,91.453,1.52092,2.23787e-05,2.23787e-05,2.23787e-05
24,25.9439,0.74105,5.57811,1.27785,0.20833,0.18333,0.05729,0.04327,1.61771,91.453,1.52092,2.32152e-05,2.32152e-05,2.32152e-05
25,27.0724,0.86999,5.71868,1.4237,0.22222,0.18333,0.07111,0.05294,1.62787,88.5159,1.52357,2.40361e-05,2.40361e-05,2.40361e-05
26,28.0824,1.17562,5.28487,1.52954,0.22222,0.18333,0.07111,0.05294,1.62787,88.5159,1.52357,2.48412e-05,2.48412e-05,2.48412e-05
27,29.1301,1.00114,5.29826,1.47442,0.22222,0.18333,0.07111,0.05294,1.62906,89.9546,1.52058,2.56307e-05,2.56307e-05,2.56307e-05
28,30.1632,1.38246,5.95543,1.72644,0.22222,0.18333,0.07111,0.05294,1.62906,89.9546,1.52058,2.64044e-05,2.64044e-05,2.64044e-05
29,31.2946,1.01958,5.46039,1.60602,0.22222,0.18333,0.07111,0.05294,1.61652,93.3834,1.51896,2.71625e-05,2.71625e-05,2.71625e-05
30,32.344,0.7815,5.5519,1.48173,0.22222,0.18333,0.07111,0.05294,1.61652,93.3834,1.51896,2.79048e-05,2.79048e-05,2.79048e-05
31,33.3945,1.07609,5.73896,1.70075,0.2,0.18333,0.05729,0.04327,1.59454,118.081,1.50277,2.86314e-05,2.86314e-05,2.86314e-05
32,34.2983,0.82038,5.90398,1.458,0.2,0.18333,0.05729,0.04327,1.59454,118.081,1.50277,2.93423e-05,2.93423e-05,2.93423e-05
33,35.4988,0.96437,5.48643,1.42571,0.2,0.18333,0.05729,0.04327,1.58088,108.415,1.49257,3.00375e-05,3.00375e-05,3.00375e-05
34,36.4626,1.1304,5.67136,1.60459,0.2,0.18333,0.05729,0.04327,1.58088,108.415,1.49257,3.0717e-05,3.0717e-05,3.0717e-05
35,37.4059,0.96301,5.20462,1.4097,0.22222,0.18333,0.07111,0.05294,1.57621,122.731,1.50486,3.13808e-05,3.13808e-05,3.13808e-05
36,38.4436,0.95217,5.2276,1.46778,0.22222,0.18333,0.07111,0.05294,1.57621,122.731,1.50486,3.20288e-05,3.20288e-05,3.20288e-05
37,39.5075,1.05768,5.34044,1.65832,0.22222,0.18333,0.09875,0.07229,1.56777,116.591,1.50663,3.26612e-05,3.26612e-05,3.26612e-05
38,40.6062,1.02247,5.05701,1.38773,0.22222,0.18333,0.09875,0.07229,1.56777,116.591,1.50663,3.32779e-05,3.32779e-05,3.32779e-05
39,41.6612,0.86211,4.9522,1.23607,0.20833,0.18333,0.09875,0.07229,1.5861,110.256,1.52391,3.38788e-05,3.38788e-05,3.38788e-05
40,42.6396,1.09343,6.09528,1.52815,0.20833,0.18333,0.09875,0.07229,1.5861,110.256,1.52391,3.44641e-05,3.44641e-05,3.44641e-05
41,43.9564,0.86149,5.02675,1.27904,0.20833,0.18333,0.09875,0.07229,1.60137,101.665,1.52874,3.50336e-05,3.50336e-05,3.50336e-05
42,44.9794,0.98464,5.13657,1.40002,0.20833,0.18333,0.09875,0.07229,1.60137,101.665,1.52874,3.55874e-05,3.55874e-05,3.55874e-05
43,46.0315,0.62978,5.23678,1.31862,0.20833,0.18333,0.09875,0.07229,1.60727,99.7151,1.53471,3.61255e-05,3.61255e-05,3.61255e-05
44,47.0681,1.16963,4.99648,1.58252,0.20833,0.18333,0.09875,0.07229,1.60727,99.7151,1.53471,3.6648e-05,3.6648e-05,3.6648e-05
45,48.1106,0.90135,5.08368,1.53609,0.2,0.18333,0.07111,0.05294,1.60928,103.172,1.53826,3.71547e-05,3.71547e-05,3.71547e-05
46,49.0602,1.07493,5.68354,1.55173,0.2,0.18333,0.07111,0.05294,1.60928,103.172,1.53826,3.76457e-05,3.76457e-05,3.76457e-05
47,50.0633,1.01108,5.36828,1.53792,0.2,0.18333,0.07111,0.05294,1.607,94.0593,1.51516,3.81209e-05,3.81209e-05,3.81209e-05
48,50.9823,0.79186,5.20132,1.38537,0.2,0.18333,0.07111,0.05294,1.607,94.0593,1.51516,3.85805e-05,3.85805e-05,3.85805e-05
49,51.8965,0.8022,5.11153,1.34866,0.2,0.18333,0.07111,0.05294,1.60347,86.217,1.51312,3.90244e-05,3.90244e-05,3.90244e-05
50,52.8105,0.86459,4.78305,1.36812,0.2,0.18333,0.07111,0.05294,1.60347,86.217,1.51312,3.94525e-05,3.94525e-05,3.94525e-05
51,53.9918,1.07158,5.0609,1.53,0.2,0.18333,0.07111,0.05294,1.60557,80.6156,1.51106,3.9865e-05,3.9865e-05,3.9865e-05
52,54.8786,0.86353,4.88502,1.4091,0.2,0.18333,0.07111,0.05294,1.60557,80.6156,1.51106,4.02617e-05,4.02617e-05,4.02617e-05
53,55.7735,0.96912,4.80559,1.42369,0.2,0.18333,0.07111,0.05294,1.60557,80.6156,1.51106,4.06428e-05,4.06428e-05,4.06428e-05
54,56.7661,0.72624,5.05845,1.38666,0.2,0.18333,0.07111,0.05294,1.58108,80.3917,1.49193,4.10081e-05,4.10081e-05,4.10081e-05
55,57.6475,0.72048,4.68,1.29133,0.2,0.18333,0.07111,0.05294,1.58108,80.3917,1.49193,4.13577e-05,4.13577e-05,4.13577e-05
56,58.5613,0.68037,5.01142,1.28968,0.2,0.18333,0.07111,0.05294,1.58108,80.3917,1.49193,4.16917e-05,4.16917e-05,4.16917e-05
57,59.4702,0.71212,4.84261,1.2067,0.20833,0.18333,0.07111,0.05294,1.55943,73.5705,1.49123,4.20099e-05,4.20099e-05,4.20099e-05
58,60.3433,0.77243,5.00168,1.37853,0.20833,0.18333,0.07111,0.05294,1.55943,73.5705,1.49123,4.23124e-05,4.23124e-05,4.23124e-05
59,61.4342,1.07903,4.89492,1.39045,0.20833,0.18333,0.07111,0.05294,1.55943,73.5705,1.49123,4.25991e-05,4.25991e-05,4.25991e-05
60,62.3716,0.99944,5.07611,1.57579,0.20833,0.18333,0.07111,0.05294,1.56519,109.605,1.48193,4.28702e-05,4.28702e-05,4.28702e-05
61,63.3101,0.83094,4.63879,1.13383,0.20833,0.18333,0.07111,0.05294,1.56519,109.605,1.48193,4.31256e-05,4.31256e-05,4.31256e-05
62,64.2352,0.65397,4.73218,1.2409,0.20833,0.18333,0.07111,0.05294,1.56519,109.605,1.48193,4.33653e-05,4.33653e-05,4.33653e-05
63,65.2364,0.83536,4.73421,1.46187,0.2,0.18333,0.07111,0.05294,1.5482,93.1627,1.46888,4.35892e-05,4.35892e-05,4.35892e-05
64,66.1367,0.61114,4.74243,1.21641,0.2,0.18333,0.07111,0.05294,1.5482,93.1627,1.46888,4.37975e-05,4.37975e-05,4.37975e-05
65,67.1215,0.65484,4.8504,1.29269,0.2,0.18333,0.07111,0.05294,1.5482,93.1627,1.46888,4.399e-05,4.399e-05,4.399e-05
66,68.1154,0.81691,4.71899,1.3813,0.2,0.18333,0.07111,0.05294,1.53115,80.7048,1.46914,4.41668e-05,4.41668e-05,4.41668e-05
67,69.0225,0.83661,4.75954,1.41543,0.2,0.18333,0.07111,0.05294,1.53115,80.7048,1.46914,4.4328e-05,4.4328e-05,4.4328e-05
68,70.2304,0.81466,4.76016,1.27399,0.2,0.18333,0.07111,0.05294,1.53115,80.7048,1.46914,4.44734e-05,4.44734e-05,4.44734e-05
69,71.1472,1.00583,4.7773,1.36172,0.2,0.18333,0.07111,0.05294,1.51729,81.8249,1.45255,4.46031e-05,4.46031e-05,4.46031e-05
70,72.0185,0.78678,4.53266,1.25327,0.2,0.18333,0.07111,0.05294,1.51729,81.8249,1.45255,4.47171e-05,4.47171e-05,4.47171e-05
71,72.9647,0.83993,4.60532,1.27301,0.2,0.18333,0.07111,0.05294,1.51729,81.8249,1.45255,4.48154e-05,4.48154e-05,4.48154e-05
72,73.9219,0.63437,4.79571,1.29494,0.20833,0.18333,0.07111,0.05294,1.54488,71.8956,1.47113,4.4898e-05,4.4898e-05,4.4898e-05
73,74.7906,0.67275,4.66108,1.20483,0.20833,0.18333,0.07111,0.05294,1.54488,71.8956,1.47113,4.49649e-05,4.49649e-05,4.49649e-05
74,75.6764,0.65353,4.71593,1.27406,0.20833,0.18333,0.07111,0.05294,1.54488,71.8956,1.47113,4.5016e-05,4.5016e-05,4.5016e-05
75,76.6208,0.72676,4.82956,1.19098,0.2,0.18333,0.07111,0.05294,1.54099,65.4145,1.46448,4.50515e-05,4.50515e-05,4.50515e-05
76,77.5599,0.69462,4.39149,1.20058,0.2,0.18333,0.07111,0.05294,1.54099,65.4145,1.46448,4.50713e-05,4.50713e-05,4.50713e-05
77,78.4919,0.83999,4.6783,1.22679,0.2,0.18333,0.07111,0.05294,1.54099,65.4145,1.46448,4.50753e-05,4.50753e-05,4.50753e-05
78,79.6237,0.7279,4.57081,1.34376,0.2,0.18333,0.07111,0.05294,1.55491,60.6666,1.48786,4.50636e-05,4.50636e-05,4.50636e-05
79,80.5441,0.72701,4.46649,1.29354,0.2,0.18333,0.07111,0.05294,1.55491,60.6666,1.48786,4.50363e-05,4.50363e-05,4.50363e-05
80,81.4916,0.67037,4.54901,1.14193,0.2,0.18333,0.07111,0.05294,1.55491,60.6666,1.48786,4.49932e-05,4.49932e-05,4.49932e-05
81,82.4704,0.54044,4.94713,1.14846,0.11667,0.18333,0.06319,0.05135,1.55745,57.1679,1.47891,4.49344e-05,4.49344e-05,4.49344e-05
82,83.3919,0.67721,4.53583,1.35748,0.11667,0.18333,0.06319,0.05135,1.55745,57.1679,1.47891,4.48599e-05,4.48599e-05,4.48599e-05
83,84.3183,0.61735,4.33444,1.24581,0.11667,0.18333,0.06319,0.05135,1.55745,57.1679,1.47891,4.47697e-05,4.47697e-05,4.47697e-05
84,85.267,0.667,4.28887,1.18547,0.04167,0.16667,0.05528,0.04975,1.5466,70.1658,1.47438,4.46638e-05,4.46638e-05,4.46638e-05
