epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1189.11,1.31242,3.02305,1.50071,0.73011,0.61093,0.69608,0.47015,1.293,2.33097,1.46023,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1288.76,1.3068,2.98144,1.49819,0.71379,0.6327,0.69772,0.47483,1.28494,2.32301,1.45735,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1397.25,1.30357,2.95281,1.49114,0.69653,0.64598,0.70272,0.48148,1.27835,2.30159,1.44721,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1574.66,1.29465,2.92621,1.48093,0.71541,0.63768,0.70565,0.48184,1.27544,2.27626,1.43897,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1724.08,1.28875,2.89403,1.48105,0.72667,0.63749,0.70898,0.4847,1.27043,2.26292,1.43577,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1880.26,1.27826,2.88494,1.47625,0.71409,0.64293,0.71173,0.49029,1.26217,2.24594,1.43117,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2053.42,1.2752,2.85289,1.4697,0.71812,0.64563,0.71459,0.49463,1.25531,2.22198,1.42383,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2216.96,1.27047,2.83673,1.46151,0.73452,0.64725,0.71885,0.49803,1.25425,2.2145,1.42091,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2445.93,1.26815,2.81936,1.46246,0.73149,0.64613,0.71901,0.49788,1.25301,2.20061,1.42221,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2598.63,1.26523,2.81422,1.46006,0.73168,0.65109,0.72181,0.50053,1.25026,2.19317,1.41856,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2820.31,1.25764,2.7821,1.45464,0.75291,0.64118,0.72455,0.5024,1.24494,2.17838,1.41551,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2921.75,1.25418,2.74445,1.44989,0.74661,0.64464,0.72544,0.50404,1.24415,2.16375,1.41342,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3019.14,1.25139,2.72881,1.44614,0.74304,0.65324,0.72934,0.50697,1.23997,2.14854,1.40933,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3148.67,1.24683,2.72223,1.44697,0.75198,0.64795,0.72998,0.509,1.23638,2.13676,1.40476,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3269.74,1.24907,2.72604,1.44848,0.75362,0.65013,0.73214,0.51241,1.23391,2.1255,1.40286,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3401.91,1.24535,2.70328,1.43845,0.75231,0.65103,0.73359,0.51363,1.23268,2.11433,1.40014,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3524.22,1.24845,2.70718,1.43859,0.76814,0.64381,0.73583,0.51608,1.2302,2.10739,1.39678,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3709.21,1.23419,2.67565,1.43145,0.76831,0.65052,0.73843,0.51771,1.22864,2.09948,1.39601,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3876.7,1.23037,2.6602,1.42887,0.76001,0.6569,0.7399,0.51868,1.22769,2.08873,1.39486,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4051.05,1.22526,2.63117,1.42531,0.75655,0.66247,0.74115,0.51977,1.22569,2.07937,1.39199,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4226.65,1.22224,2.62194,1.4244,0.76007,0.65837,0.74127,0.52097,1.22553,2.07489,1.39203,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4375.56,1.22167,2.58434,1.41697,0.75733,0.66596,0.74259,0.52259,1.22447,2.06725,1.3911,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4510.35,1.21447,2.57272,1.41167,0.76217,0.66244,0.74449,0.52323,1.22184,2.06196,1.38859,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4665.56,1.21402,2.56891,1.41,0.76828,0.66149,0.74563,0.52443,1.22022,2.05505,1.38649,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4859.75,1.20615,2.5507,1.40625,0.76785,0.6629,0.74695,0.52587,1.21815,2.04808,1.38427,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5078.78,1.20256,2.52617,1.40213,0.77395,0.65839,0.74807,0.52706,1.21609,2.03967,1.38247,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5282.35,1.19609,2.52123,1.40064,0.77154,0.65957,0.74886,0.5286,1.21392,2.03348,1.38038,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5531.65,1.20266,2.51356,1.40137,0.76447,0.66537,0.74914,0.52962,1.21237,2.02818,1.37877,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5753.26,1.18837,2.48138,1.39497,0.78591,0.65299,0.75064,0.53087,1.21156,2.02359,1.37725,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5930.34,1.19088,2.46556,1.39162,0.7717,0.66356,0.75137,0.5314,1.20957,2.01838,1.37525,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6120.21,1.18836,2.45371,1.39214,0.77038,0.66511,0.75217,0.53248,1.20819,2.01345,1.37427,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6329.23,1.1833,2.43773,1.38942,0.76729,0.6701,0.75287,0.53313,1.20742,2.00932,1.37338,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6583.53,1.17074,2.42618,1.38359,0.76431,0.67201,0.75353,0.53364,1.20551,2.00568,1.37196,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6944.51,1.17094,2.40699,1.37957,0.76844,0.67035,0.75403,0.53467,1.20426,2.00223,1.37059,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7222.35,1.16693,2.39119,1.37778,0.76442,0.67672,0.75476,0.53525,1.20315,1.99813,1.36978,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7511.42,1.17045,2.39391,1.37818,0.76754,0.67583,0.75531,0.53654,1.20222,1.99322,1.36891,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,7717.87,1.16588,2.3651,1.37376,0.77129,0.67477,0.756,0.53714,1.20133,1.99037,1.36806,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,7814.99,1.16598,2.35269,1.37455,0.77364,0.67435,0.75614,0.5379,1.19985,1.98704,1.36668,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,7909.32,1.15715,2.32863,1.36763,0.7752,0.67479,0.75692,0.53863,1.19891,1.98423,1.36573,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,8002.66,1.15256,2.31876,1.36609,0.77289,0.67795,0.75721,0.53887,1.19828,1.98173,1.36513,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,8092.71,1.14905,2.29986,1.36374,0.77295,0.67726,0.75778,0.53907,1.1974,1.97884,1.3643,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8187.62,1.14897,2.2982,1.36311,0.77316,0.67747,0.75799,0.53941,1.19656,1.97648,1.36347,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,8284.67,1.14712,2.29372,1.3607,0.77507,0.67735,0.75839,0.54007,1.19589,1.97341,1.36267,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,8377.92,1.14221,2.28475,1.35742,0.7736,0.68008,0.75898,0.54043,1.19552,1.97065,1.36211,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,8474.27,1.13344,2.25054,1.35142,0.77224,0.68205,0.75907,0.54053,1.19511,1.96745,1.36143,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,8568.67,1.13062,2.24332,1.34812,0.77321,0.68156,0.75909,0.5409,1.19433,1.96509,1.36053,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,8663.55,1.12793,2.23158,1.34801,0.77364,0.68243,0.75957,0.54088,1.19404,1.96209,1.36004,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,8758.96,1.12802,2.20796,1.34224,0.77154,0.68642,0.75978,0.54139,1.19373,1.95996,1.3595,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,158.378,1.13402,2.24343,1.35429,0.77084,0.6864,0.75986,0.54146,1.19383,1.95971,1.35953,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,296.902,1.12683,2.2427,1.35419,0.77502,0.68225,0.75988,0.54138,1.19384,1.95952,1.35945,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,435.896,1.13542,2.25444,1.35349,0.77968,0.67889,0.76013,0.54132,1.19349,1.95884,1.3591,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,575.791,1.11992,2.21792,1.34778,0.77752,0.681,0.76031,0.54169,1.19363,1.95816,1.3592,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,714.925,1.1216,2.20131,1.34487,0.77506,0.68398,0.76048,0.54162,1.19352,1.95761,1.35889,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,852.879,1.11367,2.18854,1.3375,0.77949,0.68226,0.7606,0.54186,1.19351,1.95634,1.35878,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,990.512,1.11602,2.16803,1.33563,0.7754,0.68475,0.76072,0.54227,1.19353,1.9555,1.35858,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,1127.94,1.11202,2.17057,1.33786,0.78094,0.68072,0.76072,0.54221,1.1936,1.9544,1.35855,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,1265.75,1.10036,2.14023,1.33374,0.78011,0.68151,0.76111,0.54225,1.19354,1.95335,1.35845,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,1421.22,1.10318,2.14768,1.33328,0.78255,0.67911,0.76114,0.54249,1.19331,1.95286,1.35812,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,1560.3,1.10242,2.12462,1.33128,0.78182,0.67988,0.76123,0.54247,1.19307,1.95206,1.35791,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,1698.74,1.07461,1.74957,1.31556,0.78234,0.67951,0.76178,0.54277,1.19293,1.95057,1.35766,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,1835.66,1.05457,1.67512,1.30154,0.78347,0.67895,0.76162,0.54274,1.1928,1.94876,1.35744,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,1972.94,1.05006,1.65495,1.29443,0.78313,0.68014,0.76194,0.54286,1.19277,1.94674,1.3574,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,2110.9,1.04177,1.63316,1.29518,0.78393,0.67881,0.76221,0.54312,1.1925,1.94565,1.35723,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,2246.87,1.03442,1.60327,1.28617,0.77976,0.6838,0.76241,0.54323,1.19246,1.94451,1.35709,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,2386.8,1.02991,1.59075,1.28322,0.77861,0.68406,0.76272,0.54365,1.1923,1.94296,1.35703,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,2523.72,1.02528,1.57352,1.28035,0.77612,0.68436,0.76235,0.54385,1.19217,1.94148,1.35691,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,2661.49,1.01425,1.55039,1.27223,0.77668,0.68279,0.76221,0.54386,1.19205,1.94014,1.35669,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,2798.08,1.01696,1.54212,1.27118,0.77032,0.6903,0.76219,0.5441,1.19195,1.93864,1.3566,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,2933.95,1.00302,1.51974,1.2662,0.76776,0.69222,0.76268,0.54407,1.19195,1.93775,1.35669,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
