epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2974.59,1.14364,1.58461,1.5058,0.69332,0.59966,0.67143,0.45982,1.11381,1.22431,1.45535,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,3070.42,1.13995,1.55128,1.49489,0.69493,0.61411,0.67967,0.46672,1.10599,1.20882,1.44797,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,3167.17,1.13107,1.5358,1.48636,0.70117,0.61828,0.68389,0.46809,1.10983,1.19688,1.44443,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,3264.52,1.12894,1.53182,1.48526,0.70649,0.61406,0.68755,0.47553,1.09992,1.18181,1.4375,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,3360.04,1.12018,1.51675,1.47681,0.71319,0.61884,0.69392,0.48056,1.09751,1.17141,1.43088,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,3458.26,1.11453,1.50277,1.47085,0.70741,0.63038,0.69659,0.48219,1.09228,1.1567,1.42478,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,3553.72,1.10764,1.49495,1.46747,0.7408,0.61115,0.69982,0.48706,1.08743,1.15303,1.4202,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,3649.57,1.11026,1.49018,1.46783,0.72519,0.62745,0.70406,0.49075,1.07841,1.14354,1.41387,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,3743.25,1.10104,1.4796,1.46372,0.72538,0.62921,0.70694,0.49243,1.07723,1.13921,1.41072,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,3840.08,1.09858,1.45336,1.45505,0.74733,0.61831,0.70903,0.49529,1.07478,1.12527,1.40499,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
