epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,40.6094,0.87527,4.9818,1.25275,0.20833,0.18333,0.09875,0.07229,1.58053,113.379,1.52326,2.82082e-05,2.82082e-05,2.82082e-05
40,41.9854,1.12018,6.1853,1.53933,0.20833,0.18333,0.09875,0.07229,1.58053,113.379,1.52326,2.84911e-05,2.84911e-05,2.84911e-05
41,43.492,0.89658,5.0789,1.29679,0.20833,0.18333,0.09875,0.07229,1.60059,105.24,1.52871,2.87504e-05,2.87504e-05,2.87504e-05
42,44.8928,0.99977,5.19404,1.40688,0.20833,0.18333,0.09875,0.07229,1.60059,105.24,1.52871,2.89861e-05,2.89861e-05,2.89861e-05
43,46.3658,0.64033,5.28675,1.33131,0.20833,0.18333,0.09875,0.07229,1.60576,102.51,1.5349,2.91983e-05,2.91983e-05,2.91983e-05
44,47.3685,1.20683,5.04992,1.6031,0.20833,0.18333,0.09875,0.07229,1.60576,102.51,1.5349,2.93869e-05,2.93869e-05,2.93869e-05
45,48.4518,0.9477,5.14859,1.56868,0.2,0.18333,0.07111,0.05294,1.61175,106.287,1.53676,2.9552e-05,2.9552e-05,2.9552e-05
46,49.3343,1.11087,5.78025,1.56477,0.2,0.18333,0.07111,0.05294,1.61175,106.287,1.53676,2.96935e-05,2.96935e-05,2.96935e-05
47,50.3856,1.00673,5.47002,1.54574,0.2,0.18333,0.07111,0.05294,1.60787,96.8681,1.52109,2.98114e-05,2.98114e-05,2.98114e-05
48,51.2559,0.81229,5.2837,1.40268,0.2,0.18333,0.07111,0.05294,1.60787,96.8681,1.52109,2.99058e-05,2.99058e-05,2.99058e-05
49,52.235,0.79645,5.20402,1.35001,0.2,0.18333,0.07111,0.05294,1.59978,88.279,1.51422,2.99766e-05,2.99766e-05,2.99766e-05
50,53.1407,0.91498,4.86772,1.39856,0.2,0.18333,0.07111,0.05294,1.59978,88.279,1.51422,3.00238e-05,3.00238e-05,3.00238e-05
51,54.1016,1.09863,5.1338,1.55863,0.2,0.18333,0.07111,0.05294,1.60311,84.7449,1.51307,3.00475e-05,3.00475e-05,3.00475e-05
52,54.9577,0.89418,4.97104,1.42775,0.2,0.18333,0.07111,0.05294,1.60311,84.7449,1.51307,3.00476e-05,3.00476e-05,3.00476e-05
53,55.8713,1.01138,4.91786,1.45215,0.2,0.18333,0.07111,0.05294,1.60311,84.7449,1.51307,3.00242e-05,3.00242e-05,3.00242e-05
54,56.7814,0.7877,5.15092,1.42469,0.2,0.18333,0.07111,0.05294,1.60292,84.5152,1.5134,2.99772e-05,2.99772e-05,2.99772e-05
55,57.6837,0.75317,4.77755,1.3174,0.2,0.18333,0.07111,0.05294,1.60292,84.5152,1.5134,2.99066e-05,2.99066e-05,2.99066e-05
56,58.5803,0.73638,5.12346,1.34249,0.2,0.18333,0.07111,0.05294,1.60292,84.5152,1.5134,2.98125e-05,2.98125e-05,2.98125e-05
57,59.4983,0.72375,4.94808,1.23323,0.20833,0.18333,0.07111,0.05294,1.59942,78.548,1.52435,2.96948e-05,2.96948e-05,2.96948e-05
58,60.3978,0.85069,5.18805,1.40956,0.20833,0.18333,0.07111,0.05294,1.59942,78.548,1.52435,2.95535e-05,2.95535e-05,2.95535e-05
59,61.4072,1.14422,5.00132,1.44324,0.20833,0.18333,0.07111,0.05294,1.59942,78.548,1.52435,2.93887e-05,2.93887e-05,2.93887e-05
60,62.3016,1.02524,5.22902,1.60862,0.22222,0.18333,0.09875,0.07229,1.58992,120.318,1.51657,2.92003e-05,2.92003e-05,2.92003e-05
61,63.6798,0.85251,4.77579,1.15085,0.22222,0.18333,0.09875,0.07229,1.58992,120.318,1.51657,2.89884e-05,2.89884e-05,2.89884e-05
62,64.7517,0.70103,4.91331,1.26606,0.22222,0.18333,0.09875,0.07229,1.58992,120.318,1.51657,2.87529e-05,2.87529e-05,2.87529e-05
63,65.8856,0.81328,4.86387,1.46334,0.2,0.18333,0.07111,0.05294,1.57315,104.042,1.50182,2.84938e-05,2.84938e-05,2.84938e-05
64,66.7966,0.63926,4.89787,1.24112,0.2,0.18333,0.07111,0.05294,1.57315,104.042,1.50182,2.82112e-05,2.82112e-05,2.82112e-05
65,68.3538,0.65328,4.98357,1.29613,0.2,0.18333,0.07111,0.05294,1.57315,104.042,1.50182,2.7905e-05,2.7905e-05,2.7905e-05
66,69.2866,0.86707,4.85793,1.41563,0.20833,0.18333,0.07111,0.05294,1.56135,90.8169,1.50291,2.75753e-05,2.75753e-05,2.75753e-05
67,70.1598,0.9049,4.95825,1.4687,0.20833,0.18333,0.07111,0.05294,1.56135,90.8169,1.50291,2.7222e-05,2.7222e-05,2.7222e-05
68,71.0213,0.87069,4.89809,1.30966,0.20833,0.18333,0.07111,0.05294,1.56135,90.8169,1.50291,2.68451e-05,2.68451e-05,2.68451e-05
69,72.0109,1.08927,4.89177,1.41974,0.20833,0.18333,0.07111,0.05294,1.54357,93.3318,1.4939,2.64447e-05,2.64447e-05,2.64447e-05
70,72.9406,0.75326,4.74393,1.24039,0.20833,0.18333,0.07111,0.05294,1.54357,93.3318,1.4939,2.60207e-05,2.60207e-05,2.60207e-05
71,73.8214,0.83006,4.79324,1.29128,0.20833,0.18333,0.07111,0.05294,1.54357,93.3318,1.4939,2.55731e-05,2.55731e-05,2.55731e-05
72,74.7224,0.68684,4.93866,1.38921,0.20833,0.18333,0.07111,0.05294,1.55088,82.332,1.49536,2.5102e-05,2.5102e-05,2.5102e-05
73,75.603,0.75195,4.8156,1.25218,0.20833,0.18333,0.07111,0.05294,1.55088,82.332,1.49536,2.46073e-05,2.46073e-05,2.46073e-05
74,76.489,0.68126,4.88535,1.28887,0.20833,0.18333,0.07111,0.05294,1.55088,82.332,1.49536,2.40891e-05,2.40891e-05,2.40891e-05
75,77.4227,0.78209,5.12786,1.22531,0.20833,0.18333,0.07111,0.05294,1.53411,75.9766,1.48777,2.35472e-05,2.35472e-05,2.35472e-05
76,78.3246,0.74196,4.62188,1.24444,0.20833,0.18333,0.07111,0.05294,1.53411,75.9766,1.48777,2.29819e-05,2.29819e-05,2.29819e-05
77,79.2411,0.8512,4.78418,1.25392,0.20833,0.18333,0.07111,0.05294,1.53411,75.9766,1.48777,2.23929e-05,2.23929e-05,2.23929e-05
78,80.1708,0.77106,4.70571,1.39365,0.20833,0.18333,0.07111,0.05294,1.54098,73.053,1.49231,2.17805e-05,2.17805e-05,2.17805e-05
79,81.037,0.77266,4.7172,1.32475,0.20833,0.18333,0.07111,0.05294,1.54098,73.053,1.49231,2.11444e-05,2.11444e-05,2.11444e-05
80,81.9672,0.77665,4.75184,1.20574,0.20833,0.18333,0.07111,0.05294,1.54098,73.053,1.49231,2.04848e-05,2.04848e-05,2.04848e-05
81,82.952,0.66934,5.2176,1.22829,0.2,0.18333,0.07111,0.05294,1.53723,72.2486,1.4797,1.98016e-05,1.98016e-05,1.98016e-05
82,83.8967,0.74953,4.76107,1.42814,0.2,0.18333,0.07111,0.05294,1.53723,72.2486,1.4797,1.90949e-05,1.90949e-05,1.90949e-05
83,84.8646,0.63468,4.55937,1.25845,0.2,0.18333,0.07111,0.05294,1.53723,72.2486,1.4797,1.83646e-05,1.83646e-05,1.83646e-05
84,85.8171,0.73908,4.49108,1.21965,0.20833,0.18333,0.07111,0.05294,1.5378,93.0339,1.48018,1.76107e-05,1.76107e-05,1.76107e-05
85,86.7173,0.84896,4.49029,1.35649,0.20833,0.18333,0.07111,0.05294,1.5378,93.0339,1.48018,1.68333e-05,1.68333e-05,1.68333e-05
86,87.6707,0.76984,4.49226,1.23892,0.20833,0.18333,0.07111,0.05294,1.5378,93.0339,1.48018,1.60323e-05,1.60323e-05,1.60323e-05
87,88.5437,1.094,5.02041,1.62037,0.20833,0.18333,0.07111,0.05294,1.5378,93.0339,1.48018,1.52077e-05,1.52077e-05,1.52077e-05
88,89.4631,0.7243,4.42213,1.1708,0.20833,0.18333,0.07111,0.05294,1.51992,97.5912,1.48454,1.43596e-05,1.43596e-05,1.43596e-05
89,90.3475,0.50289,4.59167,1.19236,0.20833,0.18333,0.07111,0.05294,1.51992,97.5912,1.48454,1.34879e-05,1.34879e-05,1.34879e-05
90,91.2588,0.88466,4.89663,1.61406,0.20833,0.18333,0.07111,0.05294,1.51992,97.5912,1.48454,1.25927e-05,1.25927e-05,1.25927e-05
91,92.7085,0.85069,5.24587,1.4247,0.20833,0.18333,0.07111,0.05294,1.51992,97.5912,1.48454,1.16739e-05,1.16739e-05,1.16739e-05
92,93.7224,0.78314,5.30111,1.37251,0.20833,0.18333,0.07111,0.05294,1.52875,100.986,1.48299,1.07315e-05,1.07315e-05,1.07315e-05
93,94.6373,0.79535,4.90526,1.37877,0.20833,0.18333,0.07111,0.05294,1.52875,100.986,1.48299,9.76562e-06,9.76562e-06,9.76562e-06
94,95.5369,0.79999,5.34921,1.19536,0.20833,0.18333,0.07111,0.05294,1.52875,100.986,1.48299,8.77613e-06,8.77613e-06,8.77613e-06
95,96.4264,0.7276,4.97257,1.24636,0.20833,0.18333,0.07111,0.05294,1.52875,100.986,1.48299,7.76308e-06,7.76308e-06,7.76308e-06
96,97.3397,0.66828,5.09039,1.37637,0.2,0.18333,0.07111,0.05294,1.54674,93.3212,1.48185,6.72648e-06,6.72648e-06,6.72648e-06
97,98.1812,0.87413,5.2928,1.3841,0.2,0.18333,0.07111,0.05294,1.54674,93.3212,1.48185,5.6663e-06,5.6663e-06,5.6663e-06
98,99.0567,0.79115,4.91439,1.30229,0.2,0.18333,0.07111,0.05294,1.54674,93.3212,1.48185,4.58257e-06,4.58257e-06,4.58257e-06
99,99.9397,0.84814,5.43386,1.50824,0.2,0.18333,0.07111,0.05294,1.54674,93.3212,1.48185,3.47528e-06,3.47528e-06,3.47528e-06
100,100.861,0.71944,5.09865,1.23475,0.11667,0.18333,0.05729,0.04327,1.61832,97.0693,1.5169,2.34442e-06,2.34442e-06,2.34442e-06
